"id","company","website_evidence","country","category","observed_service","fit_reason_inference","public_contact_channel","public_role","fit","outreach_angle","status","last_contact","next_action","researched_at"
"P37","Interexy","https://interexy.com/blockchain-app-development-services","Not verified","Product agency","Custom crypto wallet applications","Potential integration delivery partner rather than retail swap user.","Business enquiry on website","Not identified","MEDIUM","Explore a delivery partnership for a wallet client, not retail trading.","RESEARCHED","","Verify legal entity/contact permissions and an active project before outreach","2026-09-24"
"P38","Innowise","https://innowise.com/services/blockchain/dapp-development/","Not verified","Software engineering","Custodial/non-custodial wallets and dApps","Narrow subcontract/licensing discussion; larger procurement may reduce near-term reach.","Business enquiry on website","Not identified","MEDIUM","Offer a narrow subcontract or licensing pilot with explicit procurement fit.","RESEARCHED","","Verify legal entity/contact permissions and an active project before outreach","2026-09-24"
"P39","SoluLab","https://www.solulab.com/","Not verified","Blockchain agency","Web3 and DeFi wallet development","Ask about a bounded client pilot, acknowledging their own engineering capabilities.","Website Talk to an Expert link","Not identified","MEDIUM","Discuss a bounded client pilot while acknowledging their own wallet engineering.","RESEARCHED","","Verify legal entity/contact permissions and an active project before outreach","2026-09-24"
"P40","Rapid Innovation","https://www.rapidinnovation.io/","India office listed; headquarters unverified","Blockchain engineering","Exo Finance omni-chain DEX case study","Application reuse angle for wallet-related engagements; not promise its delivery claims.","hello@rapidinnovation.io","Not identified","MEDIUM","Complement DEX protocol work with an existing wallet-facing review/history experience.","RESEARCHED","","Verify legal entity/contact permissions and an active project before outreach","2026-09-24"
"P41","Oodles Blockchain","https://blockchain.oodles.io/","Not verified","Blockchain agency","Crypto wallets; DeFi wallets and DEX development","Reusable reviewed swap flow for client integrations.","Website Contact Us link","Not identified","MEDIUM","Show reviewed swap flow reuse for supported DeFi wallet integrations.","RESEARCHED","","Verify legal entity/contact permissions and an active project before outreach","2026-09-24"
"P42","Web3.0UK","https://web30uk.com/contact-us/","UK office listed","Web3 agency","Wallet and blockchain development services","Small-vendor fit for branded swap workflow; verify legal entity before unsolicited outreach.","hello@web30uk.com","Not identified","HIGH","Verify corporate status first, then propose a small branded wallet-client pilot.","RESEARCHED","","Verify legal entity/contact permissions and an active project before outreach","2026-09-24"
"P43","Tech Alchemy","https://techalchemy.com/Portfolio-2025.pdf","UK","Product engineering","Blockchain application portfolio","Potential wallet-flow integration partner; validate current project and corporate details first.","contact@techalchemy.com; https://techalchemy.com/lp/app-dev","Business development team","MEDIUM","Ask about a concrete wallet use case before proposing integration reuse.","RESEARCHED","","Verify legal entity/contact permissions and an active project before outreach","2026-09-24"
"P44","Web3 Labs","https://www.web3labs.com/about-us","UK","Blockchain tooling/consultancy","Web3j and Chainlens","Technical-partner/referral prospect, not an obvious direct buyer of a swap app.","hi@web3labs.com; https://www.web3labs.com/contact","Conor Svensson; founder/CEO","MEDIUM","Explore technical referrals or complementary wallet integrations; do not presume direct purchasing intent.","RESEARCHED","","Verify legal entity/contact permissions and an active project before outreach","2026-09-24"
"P45","Protofire","https://protofire.io/","Not verified","Blockchain engineering","Institutional on-chain finance development","Potential application integration complement; not a near-term small-agency priority.","Website business contact channel","Not identified","MEDIUM","Validate whether a narrow application integration complements their larger finance engagements.","RESEARCHED","","Verify legal entity/contact permissions and an active project before outreach","2026-09-24"
"P46","CoinFabrik","https://www.coinfabrik.com/services/crypto-custody-solutions/","Not verified","Web3 engineering","Wallet and MPC integration services","Discuss non-custodial app scope only; our offer is not an MPC custody product.","Contact us form on evidence page","Not identified","MEDIUM","Offer non-custodial app UX only; explicitly exclude MPC custody.","RESEARCHED","","Verify legal entity/contact permissions and an active project before outreach","2026-09-24"
"P47","CoinFabric","https://coinfabric.com/","Not verified","Blockchain venture engineering","dApps; crypto wallets and custom protocols","Potential white-label application component for their venture/client builds; reconfirm active team.","contact@coinfabric.com","Not identified","MEDIUM","Reconfirm active team and explore a branded app component for venture/client builds.","RESEARCHED","","Verify legal entity/contact permissions and an active project before outreach","2026-09-24"
"P48","Dysnix","https://dysnix.com/web3-infrastructure-services","Estonia","Web3 infrastructure consultancy","Custom Web3 infrastructure services","Technical-partner/referral route to wallet clients rather than a core software buyer.","contact@dysnix.com","Business development team","MEDIUM","Explore technical referrals to wallet clients rather than selling infrastructure replacement.","RESEARCHED","","Verify legal entity/contact permissions and an active project before outreach","2026-09-24"
"P49","Blockstars","https://www.blockstars.com.au/featured/web3","Australia","Web3 product studio","Web3 dApps; DeFi and crypto exchange development","Potential reuse in supported wallet-facing client applications.","Website business contact channel","Not identified","MEDIUM","Show reusable wallet-facing swap states for a supported client engagement.","RESEARCHED","","Verify legal entity/contact permissions and an active project before outreach","2026-09-24"
"P50","Antier","https://www.antier.com/","Not verified","Web3 engineering","Enterprise Web3 development","Possible integration partner but broad competing offer makes near-term licensing less certain.","Website business enquiry channel","Not identified","MEDIUM","Test a specific integration gap against their competing offer before spending time on a licence proposal.","RESEARCHED","","Verify legal entity/contact permissions and an active project before outreach","2026-09-24"
